batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,OPS,starting_salary
0,가르시아,2018,LG,0.339,50,183,27,62,9,0,8,95,34,5,0,9,8,25,3,0.519,0.383,9,177cm/93kg,1985년 04월 12일,내야수(우투우타),쿠바 Ciego de Avila Maximo Gomez Baez(대),0.902,
1,강경학,2011,한화,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,0,10000만원
1,강경학,2014,한화,0.221,41,86,11,19,2,3,1,30,7,0,0,13,2,28,1,0.349,0.337,6,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,0.686,10000만원
1,강경학,2015,한화,0.257,120,311,50,80,7,4,2,101,27,4,3,40,5,58,3,0.325,0.348,15,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,0.673,10000만원
1,강경학,2016,한화,0.158,46,101,16,16,3,2,1,26,7,0,0,8,2,30,5,0.257,0.232,7,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,0.489,10000만원
1,강경학,2017,한화,0.214,59,84,17,18,2,1,0,22,4,1,1,8,1,19,1,0.262,0.29,4,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,0.552,10000만원
1,강경학,2018,한화,0.278,77,245,42,68,11,1,5,96,27,6,3,38,4,59,7,0.392,0.382,2,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,0.774,10000만원
2,강구성,2013,NC,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,0,9000만원
2,강구성,2015,NC,0.2,4,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0.4,0.2,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,0.6,9000만원
2,강구성,2016,NC,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,0,9000만원
2,강구성,2017,NC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,0,9000만원
2,강구성,2018,NC,0.2,4,5,0,1,1,0,0,2,1,0,0,0,0,3,0,0.4,0.2,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,0.6,9000만원
138,백승룡,2005,한화,0.127,39,63,9,8,2,0,0,10,3,1,2,7,4,15,1,0.1587301587,0.2567567568,3,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,0.4154869155,
138,백승룡,2006,한화,0.139,37,36,6,5,2,0,0,7,0,1,0,8,2,14,0,0.1944444444,0.3260869565,4,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,0.520531401,
138,백승룡,2007,한화,0,8,4,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,0,
138,백승룡,2008,한화,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,0,
138,백승룡,2011,한화,0.176,38,51,7,9,2,0,0,11,3,1,1,7,2,13,1,0.2156862745,0.3,0,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,0.5156862745,
138,백승룡,2012,한화,0.231,33,52,3,12,1,0,0,13,3,3,0,6,3,20,0,0.25,0.3442622951,1,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,0.5942622951,
138,백승룡,2013,한화,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,
297,진갑용,1997,OB,0.242,95,281,21,68,7,0,4,87,20,2,0,20,6,44,7,0.3096085409,0.3061889251,6,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.615797466,
297,진갑용,1998,OB,0.269,88,253,12,68,14,1,2,90,22,1,1,14,0,44,10,0.3557312253,0.3071161049,7,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.6628473302,
297,진갑용,1999,삼성,0.212,68,156,13,33,3,0,4,48,17,0,2,10,2,29,7,0.3076923077,0.2678571429,7,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.5755494505,
