"20세미만자녀수코드","남편결혼연령","아내결혼연령","남편이혼연령","아내이혼연령","동거기간년수"
00,15.827,16.526,60.523,61.221,44
00,16.008,16.945,48.134,49.071,32
00,16.016,19.265,30.298,33.547,14
00,16.049,11.372,57.482,52.805,41
00,16.068,15.536,53.438,52.906,37
00,16.082,16.479,28.684,29.082,12
00,16.087,15.92,67.38,67.213,51
00,16.12,14.731,53.627,52.238,37
00,16.12,17.142,48.901,49.923,32
00,16.126,15.178,62.241,61.293,46
00,16.586,18.38,23.104,24.898,6
00,16.706,16.473,32.178,31.945,15
00,16.72,17.276,24.909,25.465,8
00,16.808,21.624,52.652,57.468,35
00,16.827,17.657,38.654,39.484,21
00,16.895,14.583,48.958,46.646,32
00,16.898,15.709,41.243,40.054,24
00,16.915,15.671,56.019,54.775,39
00,17,14.071,70.983,68.052,53
00,17.002,16.408,58.378,57.78,41
00,17.043,12.621,61.279,56.857,44
00,17.054,17.843,53.06,53.849,36
00,17.087,21.197,43.002,47.109,25
00,17.109,16.21,45.068,44.169,27
00,17.178,21.087,31.446,35.356,14
00,17.268,22.263,38.928,43.923,21
00,17.282,21.627,61.372,65.717,44
00,17.326,15.339,52.854,50.868,35
00,17.353,19.649,35.909,38.205,18
00,17.367,20.161,51.367,54.161,34
00,17.389,17.134,40.432,40.178,23
00,17.391,14.956,77.693,75.254,60
00,17.405,17.087,37.643,37.326,20
00,17.424,15.249,58.534,56.358,41
00,17.449,11.898,58.024,52.473,40
00,17.49,19.161,55.843,57.515,38
00,17.509,17.89,59.032,59.413,41
00,17.564,14.241,59.238,55.915,41
00,17.605,17.027,82.167,81.589,64
00,17.613,17.104,48.901,48.391,31
00,17.619,18.832,56.704,57.917,39
00,17.641,18.153,51.641,52.153,34
00,17.706,18.101,55.723,56.117,38
00,17.706,22,60.882,65.175,43
00,17.715,19.046,64.147,65.479,46
00,17.717,14.054,72.726,69.063,55
00,17.72,15.134,38.843,36.257,21
00,17.731,17,49.394,48.663,31
00,17.736,18.345,66.972,67.58,49
00,17.736,20,56.852,59.115,39
00,17.742,14.336,66.668,63.263,48
00,17.794,21.6,79.772,83.578,61
00,17.8,19.087,69.093,70.38,51
00,17.81,16.706,46.528,45.424,28
00,17.819,22.52,43.742,48.443,25
00,17.821,18.369,69.583,70.131,51
00,17.827,17.687,24.126,23.986,6
00,17.876,24.09,49.364,55.58,31
00,17.898,16.547,51.32,49.969,33
00,17.909,22.449,59.682,64.221,41
00,17.915,37.186,37.926,57.197,20
00,17.956,18.578,45.446,46.068,27
00,17.969,18.463,48.912,49.405,30
00,17.986,16.545,51.164,49.723,33
00,17.989,20.473,55.534,58.019,37
00,17.991,21.972,56.923,60.901,38
00,18,17.334,68.249,67.583,50
00,18.016,19.901,69.353,71.238,51
00,18.016,22.8,66.194,70.978,48
00,18.016,23.147,44.668,49.8,26
00,18.019,25.972,60.161,68.115,42
00,18.038,18.879,57.912,58.753,39
00,18.046,20.073,58.989,61.016,40
00,18.049,20.071,47.901,49.923,29
00,18.052,18.153,19.69,19.791,1
00,18.06,16.947,44.027,42.915,25
00,18.063,21.819,61.169,64.926,43
00,18.079,11.761,60.095,53.778,42
00,18.09,18.838,64.583,65.331,46
00,18.098,19.969,57.75,59.621,39
00,18.117,17.257,56.35,55.49,38
00,18.128,16.413,68.463,66.747,50
00,18.131,14.931,55.682,52.482,37
00,18.134,22.712,56.479,61.057,38
00,18.15,17.446,51.15,50.446,33
00,18.161,16.728,56.136,54.704,37
00,18.161,24.221,60.364,66.424,42
00,18.169,20.15,48.756,50.736,30
00,18.178,19.712,59.605,61.139,41
00,18.189,18.515,49.545,49.871,31
00,18.194,17.353,52.068,51.227,33
00,18.238,18.901,60.526,61.189,42
00,18.241,25.734,60.843,68.336,42
00,18.246,20.235,64.052,66.041,45
00,18.263,17.884,53.347,52.969,35
00,18.265,18.827,58.169,58.731,39
00,18.273,18.602,21.41,21.739,3
00,18.282,18.304,58.865,58.887,40
00,18.282,18.882,20.367,20.967,2
00,18.298,17.29,60.821,59.813,42
00,18.304,18.32,46.597,46.613,28
00,18.315,14.468,64.786,60.939,46
00,18.336,20.849,63.591,66.104,45
00,18.339,22.558,58.98,63.2,40
00,18.364,19.293,75.246,76.175,56
00,18.378,20.29,45.386,47.298,27
00,18.386,22.43,44.435,48.479,26
00,18.397,22.326,47.43,51.358,29
00,18.405,21.843,39.153,42.594,20
00,18.435,19.619,55.167,56.35,36
00,18.443,17.356,69.435,68.347,50
00,18.443,20.065,64.216,65.838,45
00,18.46,20.249,55.871,57.663,37
00,18.473,18.865,60.75,61.142,42
00,18.49,17.558,68.997,68.063,50
00,18.506,19.643,52.43,53.567,33
00,18.506,20.194,73.213,74.901,54
00,18.515,18.687,69.641,69.813,51
00,18.517,15.843,50.989,48.312,32
00,18.539,17.58,44.969,44.01,26
00,18.553,18.627,58.706,58.78,40
00,18.556,17.109,61.712,60.265,43
00,18.561,18.317,51.372,51.128,32
00,18.569,17.772,58.279,57.482,39
00,18.572,18.55,44.161,44.139,25
